Name,Description,Price,Image URL
Margherita Pizza,Thin crust with original mozzarella.,349,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&q=80&w=500
महाराजा Burger,Veggie patty with extra cheese delights.,189,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?auto=format&fit=crop&q=80&w=500
Alfredo Pasta,Creamy white sauce with herbs.,299,https://images.unsplash.com/photo-1473093226795-af9932fe5856?auto=format&fit=crop&q=80&w=500
Club Sandwich,Grilled triple layer specialty.,149,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?auto=format&fit=crop&q=80&w=500
Paneer Tikka,Spiced paneer cubes grilled.,210,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?auto=format&fit=crop&q=80&w=500
Dal Makhani,Classic slow-cooked lentils.,180,https://images.unsplash.com/photo-1546833999-b9f581a1996d?auto=format&fit=crop&q=80&w=500
Veg Biryani,Fragrant rice with fresh vegetables.,240,https://images.unsplash.com/photo-1589302168068-964664d93dc0?auto=format&fit=crop&q=80&w=500
Desert,Classic and sweet dish ,160,https://images.unsplash.com/photo-1627308595229-7830a5c91f9f?auto=format&fit=crop&q=80&w=500
Idli sambhar,South Indian divine delight.,120,https://images.unsplash.com/photo-1589301760014-d929f3979dbc?auto=format&fit=crop&q=80&w=500
Hakka Noodles,Wok-tossed noodles with veggies.,150,https://images.unsplash.com/photo-1585032226651-759b368d7246?auto=format&fit=crop&q=80&w=500
Barbeque,Crispy fried vegetable With paneer.,110,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?auto=format&fit=crop&q=80&w=500
